,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2020,2025,2030,2035,2040,2045,2050,Difference,,Difference,
Addison,"1,268","1,273","1,277","1,281","1,285","1,290","1,294","1,298","1,283","1,292","1,288","1,308","1,331","1,326","1,353","1,425","1,501","1,569","1,618","1,646","1,665","1,665",58,4%,313,21%
Algonquin,810,816,822,827,832,837,841,845,805,809,877,870,890,890,895,935,968,"1,007","1,044","1,088","1,131","1,152",80,9%,257,25%
Alsip,"1,222","1,215","1,208","1,201","1,194","1,187","1,180","1,173","1,222","1,270","1,241","1,210","1,146","1,140","1,226","1,296","1,383","1,472","1,562","1,646","1,690","1,714",-82,-7%,488,33%
Antioch,455,478,500,522,544,565,585,605,629,638,642,656,682,687,654,706,746,789,834,882,913,920,232,41%,266,34%
Arlington Heights,"1,933","1,921","1,908","1,895","1,883","1,870","1,858","1,845","1,927","1,912","1,975","1,891","1,903","1,915","1,994","2,085","2,200","2,303","2,380","2,441","2,465","2,467",-19,-1%,473,21%
Aurora,"1,260","1,276","1,292","1,308","1,322","1,337","1,351","1,364","1,505","1,500","1,497","1,490","1,487","1,479","1,516","1,592","1,657","1,728","1,806","1,880","1,934","1,974",219,16%,457,26%
Bannockburn,128,131,135,138,141,144,147,150,171,158,186,151,164,154,187,226,256,286,324,374,374,374,26,18%,187,67%
Barrington,854,858,863,867,871,875,879,883,948,930,917,906,925,923,927,"1,000","1,060","1,128","1,189","1,256","1,295","1,296",68,8%,369,33%
Bartlett,843,848,853,858,862,867,872,876,888,888,929,912,909,920,925,968,"1,004","1,040","1,064","1,084","1,100","1,103",77,9%,178,18%
Batavia,977,989,"1,001","1,012","1,024","1,035","1,046","1,056","1,035","1,014","1,042","1,040","1,050","1,080","1,063","1,127","1,186","1,256","1,311","1,366","1,430","1,508",103,10%,446,35%
Beach Park,579,601,622,643,663,683,703,722,677,676,704,712,705,721,745,797,850,899,932,963,994,"1,018",142,22%,273,31%
Bedford Park,36,37,39,40,41,42,43,44,36,38,37,35,38,43,36,44,51,60,71,87,104,104,7,18%,68,97%
Beecher,421,432,443,453,462,471,479,486,600,594,576,576,599,619,595,846,"1,023","1,078","1,139","1,199","1,279","1,401",198,38%,806,81%
Bellwood,"2,802","2,775","2,748","2,721","2,694","2,668","2,641","2,614","2,738","2,726","2,764","2,868","2,841","2,805","2,764","2,909","3,046","3,223","3,402","3,449","3,457","3,458",3,0%,694,22%
Bensenville,"1,192","1,213","1,234","1,256","1,277","1,300","1,322","1,345","1,247","1,249","1,211","1,271","1,239","1,227","1,259","1,321","1,389","1,456","1,500","1,517","1,524","1,524",35,3%,265,19%
Berkeley,"1,365","1,346","1,328","1,309","1,291","1,272","1,254","1,235","1,319","1,388","1,370","1,386","1,345","1,315","1,423","1,500","1,595","1,663","1,733","1,795","1,806","1,808",-50,-4%,384,24%
Berwyn,"5,299","5,217","5,135","5,053","4,971","4,889","4,807","4,725","5,266","5,301","5,306","5,199","5,252","5,206","5,307","5,388","5,495","5,657","5,835","5,953","5,960","5,957",-93,-2%,650,12%
Bloomingdale,"1,281","1,289","1,297","1,305","1,313","1,321","1,329","1,337","1,385","1,383","1,350","1,383","1,394","1,374","1,353","1,413","1,487","1,537","1,569","1,596","1,620","1,645",93,7%,292,19%
Blue Island,"2,173","2,159","2,146","2,132","2,119","2,105","2,092","2,078","2,201","2,210","2,175","2,330","2,356","2,411","2,221","2,439","2,582","2,751","2,884","2,934","2,960","2,968",238,10%,747,29%
Bolingbrook,861,874,886,899,911,922,934,944,992,978,962,956,979,974,977,"1,022","1,060","1,101","1,145","1,197","1,244","1,279",113,12%,302,27%
Braidwood,508,531,554,577,600,622,645,668,633,625,643,650,578,580,555,594,622,645,663,682,706,748,71,13%,192,30%
Bridgeview,"1,424","1,416","1,407","1,399","1,391","1,382","1,374","1,366","1,536","1,446","1,418","1,418","1,408","1,392","1,422","1,488","1,569","1,672","1,780","1,880","1,932","1,938",-33,-2%,516,31%
Broadview,"1,868","1,861","1,855","1,849","1,842","1,836","1,829","1,823","1,959","1,791","1,869","1,920","1,915","1,921","1,917","1,984","2,068","2,190","2,306","2,420","2,438","2,439",53,3%,522,24%
Brookfield,"2,530","2,502","2,474","2,446","2,417","2,389","2,361","2,333","2,453","2,445","2,542","2,411","2,438","2,435","2,546","2,604","2,682","2,784","2,900","3,021","3,029","3,029",-95,-4%,483,17%
Buffalo Grove,"1,739","1,740","1,742","1,743","1,744","1,746","1,747","1,748","1,775","1,770","1,793","1,754","1,774","1,764","1,806","1,879","1,963","2,034","2,073","2,102","2,127","2,134",25,1%,328,17%
Burbank,"2,281","2,266","2,252","2,237","2,222","2,207","2,192","2,177","2,246","2,296","2,330","2,228","2,213","2,244","2,351","2,455","2,576","2,720","2,862","2,984","2,998","3,000",-37,-2%,649,24%
Burlington,479,167,107,81,67,58,51,47,38,38,36,34,35,34,37,58,88,127,173,235,327,435,-445,-174%,399,169%
Burnham,825,819,814,809,803,798,792,787,848,877,827,823,835,816,832,892,954,967,978,977,976,976,-9,-1%,143,16%
Burr Ridge,579,586,592,598,604,609,615,621,589,577,613,598,600,641,617,683,745,808,863,909,958,968,62,10%,352,44%
Calumet City,"2,221","2,210","2,200","2,190","2,179","2,169","2,159","2,148","2,204","2,217","2,177","2,243","2,261","2,245","2,186","2,277","2,369","2,468","2,571","2,634","2,654","2,655",24,1%,469,19%
Calumet Park,"2,858","2,891","2,924","2,956","2,989","3,022","3,054","3,087","3,238","3,146","2,879","3,070","3,063","3,059","2,880","3,033","3,248","3,494","3,682","3,759","3,816","3,817",201,7%,937,28%
Carol Stream,"1,644","1,643","1,642","1,641","1,640","1,639","1,637","1,636","1,624","1,642","1,655","1,698","1,698","1,672","1,688","1,739","1,798","1,863","1,895","1,927","1,956","1,965",28,2%,277,15%
Carpentersville,"1,230","1,266","1,301","1,336","1,371","1,405","1,438","1,471","1,496","1,503","1,466","1,525","1,518","1,500","1,498","1,547","1,603","1,657","1,716","1,772","1,828","1,826",270,20%,328,20%
Cary,968,972,977,981,985,989,993,997,963,984,998,975,992,"1,026","1,004","1,065","1,124","1,178","1,221","1,265","1,299","1,311",58,6%,307,27%
Channahon,323,324,326,327,328,329,329,330,281,273,280,267,264,283,213,247,267,281,293,308,331,363,-40,-13%,150,52%
Chicago,"5,068","5,113","5,158","5,203","5,248","5,293","5,338","5,384","5,265","5,268","5,247","5,240","5,231","5,238","5,333","5,656","5,843","5,999","6,144","6,243","6,340","6,417",171,3%,"1,083",18%
Chicago Heights,"1,204","1,187","1,170","1,154","1,138","1,122","1,106","1,091","1,148","1,113","1,098","1,169","1,203","1,218","1,092","1,167","1,261","1,364","1,480","1,597","1,704","1,778",15,1%,686,48%
Chicago Ridge,"2,613","2,588","2,563","2,538","2,513","2,489","2,464","2,439","2,724","2,818","2,626","2,735","2,601","2,473","2,620","2,685","2,762","2,849","2,957","3,035","3,051","3,050",-140,-6%,430,15%
Cicero,"4,202","4,184","4,166","4,148","4,130","4,113","4,095","4,077","4,188","4,219","4,148","4,202","4,235","4,221","4,152","4,225","4,319","4,427","4,528","4,600","4,685","4,785",19,0%,633,14%
Clarendon Hills,"1,696","1,723","1,750","1,777","1,804","1,831","1,857","1,883","1,761","1,826","1,852","1,875","1,826","1,865","1,922","2,036","2,141","2,212","2,278","2,296","2,302","2,302",170,10%,380,18%
Coal City,799,725,665,614,571,533,501,472,488,447,470,392,402,419,0,1,2,3,4,7,8,8,-379,-62%,8,191%
Country Club Hills,"1,171","1,189","1,206","1,224","1,241","1,259","1,276","1,294","1,353","1,334","1,266","1,347","1,369","1,348","1,282","1,362","1,463","1,577","1,664","1,751","1,842","1,843",176,14%,561,36%
Countryside,"1,050","1,031","1,012",994,975,957,939,922,877,824,960,903,896,887,"1,013","1,112","1,191","1,274","1,328","1,391","1,429","1,436",-163,-17%,424,35%
County remainder - Cook,"2,218","2,229","2,240","2,251","2,263","2,274","2,285","2,297","2,300","2,304","2,306","2,302","2,303","2,303","2,335","2,474","2,578","2,674","2,758","2,816","2,859","2,889",85,4%,554,21%
County remainder - DuPage,"1,025","1,034","1,044","1,053","1,063","1,072","1,082","1,091","1,086","1,087","1,088","1,088","1,089","1,090","1,114","1,178","1,236","1,287","1,322","1,349","1,365","1,371",65,6%,257,21%
County remainder - Kane,267,276,285,293,302,310,319,328,344,348,350,350,352,353,363,395,425,455,486,520,556,599,85,28%,236,49%
County remainder - Kendall,61,67,72,78,84,89,95,101,118,123,126,126,127,128,135,165,191,207,225,247,280,335,67,71%,200,85%
County remainder - Lake,509,518,526,534,542,551,559,567,581,585,587,587,588,589,597,644,683,719,748,776,802,819,80,15%,222,31%
County remainder - McHenry,154,159,164,169,174,178,183,188,190,192,192,193,193,194,196,219,240,256,273,291,313,340,40,23%,143,53%
County remainder- Will,210,218,227,236,245,253,262,271,280,282,284,284,285,286,291,321,347,371,395,423,458,506,76,31%,214,54%
Crest Hill,641,675,709,740,771,800,827,854,916,930,853,899,857,844,848,892,946,"1,006","1,063","1,131","1,212","1,317",203,27%,469,43%
Crestwood,"1,573","1,557","1,540","1,523","1,507","1,490","1,474","1,457","1,561","1,581","1,688","1,688","1,721","1,726","1,765","1,874","2,011","2,122","2,220","2,292","2,348","2,366",152,9%,601,29%
Crete,439,438,437,436,435,434,433,432,416,371,352,354,347,355,349,392,440,481,527,573,635,727,-84,-21%,378,70%
Crystal Lake,820,822,823,825,826,828,829,831,844,833,827,816,844,840,848,912,979,"1,037","1,086","1,136","1,196","1,251",20,2%,403,38%
Darien,"1,484","1,474","1,465","1,455","1,446","1,437","1,427","1,418","1,458","1,470","1,501","1,503","1,528","1,535","1,527","1,614","1,719","1,800","1,841","1,870","1,876","1,879",51,3%,352,21%
Deerfield,"1,207","1,207","1,207","1,207","1,207","1,206","1,206","1,206","1,196","1,207","1,237","1,218","1,241","1,258","1,293","1,361","1,443","1,519","1,585","1,634","1,648","1,649",51,4%,356,24%
Des Plaines,"1,591","1,589","1,587","1,585","1,583","1,581","1,579","1,577","1,630","1,631","1,686","1,670","1,646","1,620","1,690","1,825","1,931","2,038","2,115","2,160","2,166","2,168",30,2%,478,25%
Diamond,378,408,438,466,493,519,545,569,589,635,532,592,589,511,5,17,33,55,82,121,195,384,134,30%,379,195%
Dixmoor,"1,177","1,195","1,213","1,231","1,250","1,268","1,286","1,304","1,148","1,206","1,043","1,084","1,116","1,258","1,129","1,189","1,271","1,380","1,517","1,667","1,833","2,097",81,7%,967,60%
Dolton,"1,961","1,953","1,945","1,937","1,929","1,921","1,913","1,905","1,949","2,052","1,910","1,980","1,969","1,958","1,926","2,032","2,153","2,262","2,387","2,431","2,464","2,472",-3,0%,546,25%
Downers Grove,"1,378","1,389","1,400","1,412","1,423","1,434","1,445","1,457","1,404","1,383","1,432","1,401","1,396","1,433","1,442","1,531","1,619","1,687","1,721","1,746","1,764","1,769",55,4%,327,20%
East Dundee,472,474,477,480,482,485,487,490,488,504,493,480,510,519,521,579,652,732,813,904,"1,019","1,103",47,9%,582,72%
East Hazel Crest,812,803,794,785,775,766,757,748,900,979,807,877,910,861,797,880,989,"1,125","1,242","1,244","1,244","1,245",48,6%,448,44%
Elburn,404,437,468,498,526,554,581,607,584,587,637,657,636,636,648,685,734,802,883,979,"1,084","1,177",232,45%,529,58%
Elgin,"1,317","1,265","1,219","1,176","1,138","1,103","1,070","1,041","1,059","1,028","1,018","1,004","1,000","1,011","1,064","1,149","1,220","1,286","1,357","1,433","1,501","1,552",-306,-26%,488,37%
Elk Grove Village,"1,219","1,211","1,203","1,194","1,186","1,178","1,170","1,162","1,192","1,199","1,226","1,233","1,212","1,204","1,213","1,252","1,300","1,350","1,376","1,400","1,408","1,408",-15,-1%,195,15%
Elmhurst,"1,591","1,599","1,607","1,616","1,624","1,632","1,640","1,648","1,601","1,619","1,618","1,618","1,622","1,635","1,669","1,770","1,862","1,944","2,027","2,079","2,083","2,085",44,3%,416,22%
Elmwood Park,"5,321","5,281","5,241","5,201","5,161","5,122","5,082","5,042","5,399","5,306","5,290","5,318","5,347","5,135","5,316","5,425","5,566","5,738","5,933","6,008","6,014","6,017",-186,-4%,701,12%
